00004570,0025,0000,ALONZO URIBE RI,559-A C.72               ,73             ,75             ,MERIDA         ,MERIDA         ,CENTRO         ,  ,97000,0         ,106,C ,0000000,W0,LR     ,2,0281,004802810025   ,0002,0002,000.000000,-000.00000,21/10/1999,000000,12
00000420,0051,1054,LA ALEJANDRA   ,543 12                   ,23             ,21             ,MERIDA         ,MERIDA         ,LAS AGUILAS    ,  ,97134,0         ,104,B ,0000009,W0,LV     ,2,0281,004802810051   ,0002,0002,021.020738,-089.56931,31/05/1997,000103,12
00000425,0051,1054,EL CAIMITO     ,368 6                    ,11             ,15             ,MERIDA         ,MERIDA         ,LAS AGUILAS    ,  ,97134,9039794   ,104,B ,0000011,W0,LRV    ,3,0281,004802810051   ,0003,0003,021.023595,-089.57061,07/07/1997,000133,12
00000431,0051,1054,LA CONCHITA    ,533 22                   ,15             ,15-A           ,MERIDA         ,MERIDA         ,MAYA           ,  ,97134,0         ,104,C ,0000005,W0,V      ,1,0281,004802810051   ,0001,0001,021.017646,-089.57493,08/07/1997,000065,12
00000471,0051,1054,ABARROTES BETTY,511-A 15                 ,24             ,22             ,MERIDA         ,MERIDA         ,COLONIA MAYA   ,  ,97134,9433973   ,104,B ,0000012,W0,LRV    ,3,0281,004802810051   ,0003,0003,021.017450,-089.57543,10/07/1997,000141,12
00000491,0051,1054,SAN JUDAS TADEO,541-A 11                 ,24             ,24-A           ,MERIDA         ,MERIDA         ,COLONIA MAYA   ,  ,97134,0         ,104,B ,0000015,W0,LRV    ,3,0281,004802810051   ,0003,0003,021.017670,-089.57831,26/03/1998,000180,12
00000517,0051,1054,EL TRAVIESO    ,550 20                   ,15-A           ,17             ,MERIDA         ,MERIDA         ,COLONIA MAYA   ,  ,97134,0         ,104,C ,0000000,W0,V      ,1,0281,004802810051   ,0001,0001,021.018051,-089.57263,20/02/1999,000006,12
00001362,0051,1052,LA CANDELARIA  ,369 49 A                 ,54             ,56             ,MERIDA         ,MERIDA         ,FRANCISCO DE MO,  ,97205,465049    ,104,B ,0000010,W0,MJS    ,3,0281,004802810051   ,0003,0003,021.035480,-089.64836,22/04/1997,000122,12
00001364,0051,1052,MINISUPER GUADA,353 47                   ,C.56           ,C.54           ,MERIDA         ,MERIDA         ,FRANCISCO DE MO,  ,97205,0         ,104,A ,0000025,W0,MJS    ,3,0281,004802810051   ,0003,0003,021.036233,-089.64775,22/04/1997,000301,12
00001396,0051,1052,TENDEJON TUTI F,336 5-C                  ,20-C           ,24             ,MERIDA         ,MERIDA         ,XCUMPICH       ,  ,97204,0         ,104,C ,0000003,W0,M      ,1,0281,004802810051   ,0001,0001,021.032140,-089.63617,23/04/1997,000032,12
00001397,0051,1052,TIENDA LA LUPIT,352 5-C                  ,20             ,24             ,MERIDA         ,MERIDA         ,XCUMPICH       ,  ,97204,0         ,104,C ,0000007,W0,MJS    ,3,0281,004802810051   ,0003,0003,021.032198,-089.63691,23/04/1997,000086,12
00001408,0051,1052,PAP. EL REYNO D,231 44                   ,53-D           ,53-C           ,MERIDA         ,MERIDA         ,FRANCISCO DE MO,  ,97205,0         ,104,A ,0000033,W0,MJS    ,3,0281,004802810051   ,0003,0003,021.028157,-089.64340,23/04/1997,000394,12
00004206,0051,1052,MINISUPER 3 DE ,250 52                   ,47             ,49-C           ,MERIDA         ,MERIDA         ,FRANCISCO DE MO,  ,97205,0         ,104,C ,0000005,W0,JS     ,2,0281,004802810051   ,0002,0002,021.033825,-089.64602,15/07/1999,000058,12
00005551,0051,1054,COCINA DEL PARQ,530 26                   ,13             ,15             ,MERIDA         ,MERIDA         ,MAYA           ,  ,97134,          ,114,C ,0000003,W0,RV     ,2,0281,004802810051   ,0002,0002,021.016080,-089.57609,28/09/2005,000037,12
00006301,0051,1054,TDA. EL CAIMITO,341 12                   ,11             ,15             ,MERIDA         ,MERIDA         ,LAS AGUILAS    ,  ,97134,          ,104,C ,0000006,W0,V      ,1,0281,004802810051   ,0001,0001,021.023770,-089.57344,08/03/2006,000068,12
00006332,0051,1054,TJON. GABYS    ,270 21-B                 ,16             ,16-DIAG.       ,MERIDA         ,MERIDA         ,FRACC.PINOS DEL,  ,97134,          ,106,C ,0000005,W0,LRV    ,3,0281,004802810051   ,0003,0003,021.008176,-089.56593,13/03/2006,000056,12
