4570,25,0,ALONZO URIBE RICARDO,559-A C.72,73,75,MERIDA,MERIDA,CENTRO,,97000,0,106,D,0,W0,LR,2,281,004802810025,2,2,0,-000.000000000000,21/10/1999,0,12
1569,70,1077,LA LIMONARIA,116 69,34,36,MERIDA,MERIDA,XELPAC - KANASIN AMPLEACION,,97000,,104,D,0,W0,R,1,281,004802810070,1,1,20.939288,-89.567151,27/06/2005,0,12
4270,70,1075,FARMACIA 29 DEMAYO,101 20 X 21 X 23,21,23,MERIDA,MERIDA,KOPOMA,,0,,132,D,2.9583333333,W0,S,1,281,004802810070,1,1,20.648258,-89.900816,26/07/2005,35.5,12
5274,70,1075,P.C.V. DONA OLGA,84 16 X 13 X 15,13,15,Chochola,Chochola,CHOCHOLA,,0,,106,D,5.1041666667,W0,MJS,3,281,004802810070,3,3,20.754387,-89.827248,11/08/2005,61.25,12
5509,70,1076,P.C.V. ELUTERIO EK EK,112-A 24-A,23,25,MERIDA,MERIDA,KANASIN,,0,,106,D,0,W0,RV,2,281,004802810070,2,2,20.933552,-89.561298,23/09/2005,0,12
5644,70,1079,SUPER CASA LOPEZ,187 75-A,12,10,MERIDA,MERIDA,XELPAC - KANASIN,,97300,,104,A,27.5046333333,W0,LRV,3,281,004802810070,3,3,20.934386,-89.575001,25/10/2005,330.0556,12
6550,70,1075,TJON. LA LUPITA,125 20,25-A,25,Chochola,Chochola,CHOCHOLA,,97000,,104,B,0,W0,MJS,3,281,004802810070,3,3,20.747738,-89.831305,21/04/2006,0,12
6720,70,1075,REST. MC COY DE XTEPEN,S-N KM. 7 CARR. XTEPEN,KM. 7 CARR. XTEPEN,KM. 7 CARR. XTEPEN,UMAN,UMAN,XTEPEN,,97050,9103488,114,D,0,W0,J,1,281,004802810070,1,1,20.822355,-89.74326,19/05/2006,0,12
6732,70,1075,FARMACIA LAURA BEATRIZ,103-A 20,23,25,Chochola,Chochola,CHOCHOLA,,97000,,132,C,5.9791666667,W0,S,1,281,004802810070,1,1,20.749048,-89.830908,19/05/2006,71.75,12
7449,70,1075,LA GUADALUPANA,S-N CARRETERA PRINCIPAL,CARR. POXILA-UMAN,CARR. POXILA-UMAN,UMAN,UMAN,POXILA - UMAN,,97000,,104,A,156.3680666667,W0,MJS,3,281,004802810070,3,3,20.815838,-89.804644,14/09/2006,1876.4168,12
